Constantine Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Council's Hubris Lv.6,Styxasis Lv.6,Jyack Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Bolt Crag Lv.6,Noble Defiance Lv.6,Noble Defiance Lv.6

Constantine Lv.6,Council's Hubris Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Razor Pinion Lv.6,Jyack Lv.6,Styxasis Lv.6,Bolt Crag Lv.6,Noble Defiance Lv.6,Noble Defiance Lv.6

Typhon Vex Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Razor Pinion Lv.6,Council's Hubris Lv.6,Styxasis Lv.6,Dreamhaunter Lv.6,Remote Rig Lv.6,Serraco Sire Lv.6

Typhon Vex Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Razor Pinion Lv.6,Council's Hubris Lv.6,Styxasis Lv.6,Dreamhaunter Lv.6,Remote Rig Lv.6,Serraco Sire Lv.6

Typhon Vex Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Razor Pinion Lv.6,Serraco Sire Lv.6,Styxasis Lv.6,Council's Hubris Lv.6,Remote Rig Lv.6

Typhon Vex Lv.6,Sacred Sanctuary Lv.6,Council's Hubris Lv.6,Dreamhaunter Lv.6,Serraco Sire Lv.6,Razor Pinion Lv.6,Remote Rig Lv.6,Styxasis Lv.6,Razor Pinion Lv.6

Typhon Vex Lv.6,Serraco Sire Lv.6,Razor Pinion Lv.6,Styxasis Lv.6,Sacred Sanctuary Lv.6,Remote Rig Lv.6,Razor Pinion Lv.6,Dreamhaunter Lv.6,Council's Hubris Lv.6

Typhon Vex Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Razor Pinion Lv.6,Wurz the Brazen Lv.6,Sacred Sanctuary Lv.6,Serraco Sire Lv.6,Cockatrice Baxis Lv.6,Aggeroth Chaos Lv.6,Sacred Sanctuary Lv.6

Typhon Vex Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Razor Pinion Lv.6,Wurz the Brazen Lv.6,Sacred Sanctuary Lv.6,Serraco Sire Lv.6,Council's Hubris Lv.6,Cockatrice Baxis Lv.6,Arch Nova Alpha Lv.6,Aggeroth Chaos Lv.6

Typhon Vex Lv.6,Dreamhaunter Lv.6,Razor Pinion Lv.6,Razor Pinion Lv.6,Wurz the Brazen Lv.6,Sacred Sanctuary Lv.6,Serraco Sire Lv.6,Council's Hubris Lv.6,Cockatrice Baxis Lv.6,Aggeroth Chaos Lv.6,Sacred Sanctuary Lv.6

Typhon Vex Lv.6,Razor Pinion Lv.6,Razor Pinion Lv.6,Styxasis Lv.6,Remote Rig Lv.6,Sacred Sanctuary Lv.6,Council's Hubris Lv.6,Serraco Sire Lv.6,Dreamhaunter Lv.6

Typhon Vex Lv.6,Razor Pinion Lv.6,Remote Rig Lv.6,Council's Hubris Lv.6,Dreamhaunter Lv.6,Styxasis Lv.6,Serraco Sire Lv.6,Sacred Sanctuary Lv.6,Razor Pinion Lv.6

Typhon Vex Lv.6,Razor Pinion Lv.6,Remote Rig Lv.6,Council's Hubris Lv.6,Dreamhaunter Lv.6,Styxasis Lv.6,Serraco Sire Lv.6,Sacred Sanctuary Lv.6,Razor Pinion Lv.6,Wurz the Brazen Lv.6

Typhon Vex Lv.6,Razor Pinion Lv.6,Wurz the Brazen Lv.6,Razor Pinion Lv.6,Dreamhaunter Lv.6,Remote Rig Lv.6,Styxasis Lv.6,Council's Hubris Lv.6,Sacred Sanctuary Lv.6,Serraco Sire Lv.6

Typhon Vex Lv.6,Razor Pinion Lv.6,Dreamhaunter Lv.6,Council's Hubris Lv.6,Styxasis Lv.6,Razor Pinion Lv.6,Sacred Sanctuary Lv.6,Serraco Sire Lv.6,Remote Rig Lv.6

